raceId,driverId,total_points,total_wins,standing_position
136,11,0,0,21
155,59,0,0,21
218,76,0,0,21
235,69,0,0,21
263,65,0,0,21
280,100,0,0,21
419,118,0,0,21
422,77,0,0,21
424,156,0,0,21
425,112,0,0,21
448,190,0,0,21
450,189,0,0,21
520,175,0,0,21
555,211,0,0,21
672,347,0,0,21
685,262,0,0,21
739,404,0,0,21
761,437,0,0,21
769,528,0,0,21
847,816,0,0,21
905,155,0,0,21
967,821,0,0,21
968,821,0,0,21
974,838,0,0,21
1115,856,0,0,21
57,34,0,0,22
123,50,0,0,22
310,78,0,0,22
397,160,0,0,22
438,185,0,0,22
516,206,0,0,22
524,175,0,0,22
570,229,0,0,22
702,368,0,0,22
727,305,0,0,22
800,653,0,0,22
809,520,0,0,22
894,820,0,0,22
974,18,0,0,22
212,71,0,0,23
375,167,0,0,23
450,183,0,0,23
507,176,0,0,23
621,333,0,0,23
642,262,0,0,23
669,328,0,0,23
757,475,0,0,23
795,501,0,0,23
810,696,0,0,23
958,837,0,0,23
253,83,0,0,24
294,123,0,0,24
301,79,0,0,24
496,216,0,0,24
586,229,0,0,24
668,374,0,0,24
697,402,0,0,24
737,376,0,0,24
760,513,0,0,24
879,39,0,0,24
155,60,0,0,25
248,95,0,0,25
265,106,0,0,25
357,122,0,0,25
488,136,0,0,25
510,211,0,0,25
556,246,0,0,25
511,136,0,0,26
585,172,0,0,26
706,424,0,0,26
815,509,0,0,26
838,766,0,0,26
261,107,0,0,27
304,128,0,0,27
308,127,0,0,27
323,148,0,0,27
376,163,0,0,27
421,156,0,0,27
529,241,0,0,27
612,331,0,0,27
619,330,0,0,27
816,669,0,0,27
760,477,0,0,27
262,107,0,0,28
505,221,0,0,28
509,209,0,0,28
575,254,0,0,28
621,293,0,0,28
823,686,0,0,28
380,165,0,0,29
479,196,0,0,29
486,105,0,0,29
568,253,0,0,29
324,101,0,0,30
445,189,0,0,30
493,194,0,0,30
495,217,0,0,30
554,239,0,0,30
618,243,0,0,30
685,391,0,0,30
771,566,0,0,30
367,92,0,0,31
373,146,0,0,31
467,170,0,0,31
552,203,0,0,31
651,361,0,0,31
725,432,0,0,31
757,477,0,0,31
790,623,0,0,31
377,146,0,0,32
403,78,0,0,32
464,186,0,0,32
525,152,0,0,32
626,221,0,0,32
715,380,0,0,32
794,556,0,0,32
552,267,0,0,33
569,284,0,0,33
639,182,0,0,33
743,435,0,0,33
331,114,0,0,34
321,92,0,0,34
357,160,0,0,34
386,167,0,0,34
491,214,0,0,34
531,242,0,0,34
627,339,0,0,34
802,593,0,0,34
821,629,0,0,34
263,50,0,0,35
479,210,0,0,35
534,242,0,0,35
735,457,0,0,35
778,528,0,0,35
