raceId,driverId,constructorId,grid,positionOrder,points,statusId
raceId,driverId,constructorId,,,0,
786,559,107,1,1,8,1
183,56,6,3,1,10,1
175,56,6,6,1,10,1
184,56,6,5,1,10,1
189,56,6,2,1,10,1
206,57,1,2,1,10,1
223,57,1,5,1,10,1
169,57,1,3,1,10,1
180,57,1,2,1,10,1
185,57,1,1,1,10,1
200,57,1,3,1,10,1
151,57,1,2,1,10,1
170,57,1,1,1,10,1
196,57,1,1,1,10,1
192,57,1,1,1,10,1
176,57,1,1,1,10,1
167,57,1,1,1,10,1
205,57,1,3,1,10,1
156,57,1,4,1,10,1
162,57,1,2,1,10,1
179,57,1,1,1,10,1
201,57,1,1,1,10,1
191,57,1,1,1,10,1
195,57,1,1,1,10,1
190,57,1,2,1,10,1
784,577,6,3,1,4,1
812,578,6,7,1,8,1
770,578,6,1,1,9,1
807,578,6,3,1,8,1
806,579,131,1,1,8,1
799,579,105,3,1,8,1
789,579,6,2,1,8,1
825,579,51,1,1,9,1
781,579,105,1,1,9,1
795,579,131,2,1,9,1
790,579,6,1,1,9,1
837,579,51,2,1,8,1
792,579,131,3,1,9,1
801,579,105,1,1,9,1
776,579,105,2,1,8,1
777,579,105,1,1,9,1
784,579,6,3,1,5,1
828,579,51,7,1,5,1
816,579,105,2,1,9,1
834,579,51,1,1,9,1
798,579,131,1,1,8,1
779,579,105,1,1,8,1
838,579,51,1,1,9,1
802,579,131,1,1,8,1
804,579,131,1,1,8,1
805,579,131,2,1,9,1
796,579,131,1,1,8,1
832,579,51,2,1,9,1
787,581,6,3,1,8,1
771,581,6,6,1,8,1
788,581,6,3,1,8,1
835,593,113,5,1,9,1
778,611,108,13,1,8,1
794,628,113,14,1,8,1
817,641,6,2,1,9,1
814,642,6,3,1,8,1
839,642,51,3,1,8,1
836,642,51,2,1,9,1
827,642,51,2,1,8,1
833,642,51,1,1,9,1
830,647,6,1,1,8,1
820,647,6,1,1,9,1
822,647,6,1,1,9,1
824,647,6,1,1,8.5,1
813,647,6,1,1,8.5,1
821,647,6,2,1,9,1
831,647,6,3,1,8,1
823,647,6,1,1,9,1
811,647,6,2,1,8,1
819,647,6,1,1,9,1
815,647,6,2,1,9,1
808,647,6,1,1,9,1
810,647,6,1,1,8,1
251,65,22,8,1,10,1
188,65,24,14,1,10,1
247,65,22,5,1,10,1
800,657,113,19,1,8,1
809,657,113,1,1,9,1
269,71,3,2,1,10,1
234,71,3,1,1,10,1
224,71,3,2,1,10,1
268,71,3,3,1,10,1
225,71,3,1,1,10,1
285,71,3,2,1,10,1
226,71,3,1,1,10,1
231,71,3,1,1,10,1
242,71,3,4,1,10,1
256,71,3,1,1,10,1
203,71,17,3,1,10,1
241,71,3,2,1,10,1
264,71,3,1,1,10,1
267,71,3,3,1,10,1
283,71,3,2,1,10,1
228,71,3,2,1,10,1
239,71,3,2,1,10,1
271,71,3,2,1,10,1
261,71,3,2,1,10,1
232,71,3,2,1,10,1
249,71,3,1,1,10,1
284,71,3,2,1,10,1
826,766,113,2,1,9,1
265,77,6,1,1,10,1
216,77,22,1,1,10,1
304,77,1,4,1,10,1
418,77,22,4,1,9,1
319,77,1,1,1,10,1
402,77,6,1,1,9,1
403,77,6,1,1,9,1
368,77,6,2,1,9,1
383,77,6,3,1,9,1
295,77,1,4,1,10,1
828,786,51,7,1,4,1
109,8,1,7,1,10,1
44,8,6,2,1,10,1
86,8,1,2,1,10,1
880,8,208,7,1,25,1
43,8,6,3,1,10,1
12,8,6,6,1,10,1
49,8,6,1,1,10,1
1006,8,6,2,1,25,1
877,8,208,4,1,25,1
83,8,1,4,1,10,1
75,8,1,1,1,10,1
52,8,6,3,1,10,1
76,8,1,1,1,10,1
36,8,6,1,1,10,1
19,8,6,2,1,10,1
78,8,1,7,1,10,1
103,8,1,10,1,10,1
88,8,1,17,1,10,1
